,Emission Line
0,0.9956654062086758
1,1.0124044687733174
2,1.021115507136722
3,1.084184302160391
4,1.0844471308560257
5,1.1964632270755458
6,1.2052707354298227
7,1.2117427778813021
8,1.2499443023900083
9,1.258507976173221
10,1.2601120404358557
11,1.2671069402531776
12,1.28160740092471
13,1.288433446388537
14,1.289979326386081
15,1.5283617244823713
16,1.5306898913018698
17,1.5372611041348097
18,1.539110301203562
19,1.542235551214
20,1.5425517652112648
21,1.542839386984865
22,1.5434337253385007
23,1.5458232754327987
24,1.5484521604276225
25,1.5496502345730119
26,1.5496985214398276
27,1.5505315948581024
28,1.5505795818064554
29,1.5535447753196874
30,1.5536703411675572
31,1.554167605918466
32,1.5542158927850995
33,1.5565979448971317
34,1.5608151978462899
35,1.5627412739678785
36,1.5651899079532217
37,1.5653455656150488
38,1.5755511896891217
39,1.5756539617347378
40,1.576148527210946
41,1.5776817101777947
42,1.5778777568520204
43,1.5893496363848012
44,1.591043975498701
45,1.591271413631888
46,1.6052773037289858
47,1.605546630464866
48,1.6075378887873228
49,1.619014266836174
50,1.6204078877189594
51,1.6231385448735438
52,1.6241926581121084
53,1.631084083345851
54,1.6311347695568783
55,1.6312513378449542
56,1.6312919268028927
57,1.6337565563082002
58,1.6346195215401995
59,1.6347464869994504
60,1.6352188584914433
61,1.635569363137039
62,1.6364588211605675
63,1.6471127227301339
64,1.647281476819364
65,1.6474556294398641
66,1.652350297800747
67,1.6534542974452935
68,1.65385998707268
69,1.658124626820657
70,1.6582275988056034
71,1.6605471677306036
72,1.6607536115641528
73,1.6707506916590653
74,1.6714360052033834
75,1.6718928808994213
76,1.6728385236142578
77,1.672978785452553
78,1.6749235563281548
79,1.6751681897692243
80,1.6884536750461554
81,1.6886268279338503
82,1.6895187852453288
83,1.6902746795771495
84,1.6904321367352324
85,1.6905635009928213
